"Date of sale","Time of sale","Date of listing","Bundle","Buyer","Brand","Description","Size","Item price","Buyer shipping cost","Total","USPS Cost","Depop fee","Depop Payments fee","Boosting fee","Total fee VAT","Total fee excl. VAT","Payment type","Category","Country","Unknown Tax","US Sales tax","Australia Sales tax","Refunded to buyer amount","Fees refunded to seller"
"04/05/2023","4:25 PM","29/04/2023","No","akiho__","Cop Copine","Cop Copine longsleeve top

90s 00s Cop Copine tshirt. Features abstract screen print with flocking details across front and contrast red zip at neck. Stitching at neck and armpit has come a little loose reinforced by hand. Otherwise great condition! 


✰ Measurements
Label - 1 fits S UK8-10
Length - 21”
Pit to pit - 15.5”
Shoulder to shoulder - 12.5”
Sleeve from pit - 21”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £12
✰ EUROPE - £9

🦋 Sales are final! 🦋","S","£36.00","£3.15","£39.15","£0.00","£3.92","£1.44","=""-""","£0.89","£4.47","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"06/05/2023","3:33 PM","21/04/2023","No","calicostudio","Esprit","EDC rib knit khaki jumper 

Edc by esprit ribbed jumper. Features wide neck small embroidered patch on front. Chevron pattern in knit down either side of body. Excellent condition!

✰ Measurements
Label - XS fits XS/S UK6/8/10
Length - 20.5”
Pit to pit - 14.5”
Sleeve from pit - 21.5”
Sleeve from neck - 29.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC25","XS","£39.00","£3.45","£42.45","£0.00","£4.24","£1.53","=""-""","£0.96","£4.81","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"08/05/2023","12:31 PM","12/04/2023","No","stargirllvintage","Sisley","Sisley long sleeve top

Black longsleeve tshirt by Sisley. Features brand name in silver rhinestones across chest. Symmetrical black stitching details down either side. Excellent condition!

✰ Measurements
Label - no size fits S/M UK8/10
Length - 22""
Shoulder to shoulder - 14.5""
Pit to pit - 14.5""
Sleeve from pit - 19""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🐸 Sales are final! 🐸
FC480","S","£28.00","£3.45","£31.45","£0.00","£3.14","£1.21","=""-""","£0.72","£3.63","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"08/05/2023","5:12 PM","16/04/2023","No","froodlenoodle","N/A","Gorpcore tie back vest 

2000s brown vest top. Features eyelet details around neckline and ties up the back. Fabric is piling otherwise good condition!

✰ Measurements
Label - M fits S/M UK8/10
Length - 19""
Pit to pit - 12"" (stretchy can be larger depending on ties)
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC478","S","£23.00","£2.70","£25.70","£0.00","£2.57","£1.05","=""-""","£0.60","£3.02","STRIPE","Tank tops","GB",,,,"N/A","N/A"
"08/05/2023","8:28 PM","14/04/2023","No","evie_janee","N/A","Diamanté moto tshirt

Rhinestone black MotoGP tshirt features silver rhinestones alpinestars logo across front. Excellent condition!

✰ Measurements
Label - S fits XS/S UK6/8
Length - 22”
Shoulder to shoulder - 12”
Pit to pit - 14”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸","S","£28.00","£2.70","£30.70","£0.00","£3.07","£1.19","=""-""","£0.71","£3.55","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"09/05/2023","5:44 PM","14/04/2023","No","mariadolotina","N/A","2000s Black graphic tshirt 

Y2k black tshirt features grey lips screen print. Excellent condition!

✰ Measurements
Label - S fits UK6/8/10
Length - 20.5""
Shoulder to shoulder - 14""
Pit to pit - 15""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC502","S","£25.00","£2.70","£27.70","£0.00","£2.77","£1.10","=""-""","£0.65","£3.22","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"10/05/2023","10:15 AM","20/04/2023","No","na_l_a","Roxy","Roxy double zip jumper

00s Roxy blue zip up knit. Features baby blue accent details ribbed collar hem cuffs and pockets. Roxy patches across chest and a double zip! Excellent condition! 

✰ Measurements
Label - M fits S/M UK8/10/12
Length - 21.5”
Pit to pit - 17.5”
Sleeve from neck  - 26.5”
Sleeve from pit - 19”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
FC523","M","£45.00","£3.45","£48.45","£0.00","£4.84","£1.71","=""-""","£1.09","£5.46","STRIPE","Sweaters","GB",,,,"N/A","N/A"
"11/05/2023","8:27 PM","14/04/2023","No","shshshhwjekekenbwk","N/A","2000s orange tank top 

Studded 00s tank top. Colour is kind of halfway between orange and red features graphic grey text reading ‘Just Guga Girls’ across chest. Little metal stud details on text. Excellent condition!

✰ Measurements
Label - no label fits XS/S UK6/8
Length - 20.5""
Pit to pit - 14""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.65
✰ EUROPE - £8.65

🐸 Sales are final! 🐸
Zc27","S","£23.00","£2.70","£25.70","£0.00","£2.57","£1.05","=""-""","£0.60","£3.02","STRIPE","Tank tops","GB",,,,"N/A","N/A"
"12/05/2023","10:06 AM","28/12/2022","Yes","xzxzxzx","Esprit","Edc cargo shirt

00s y2k EDC by esprit cargo shirt. Features heavy embroidery details on front and sleeve. Asymmetric pocket design. Studded detail on back and faint text print. Cuffs have little gemstone poppers! Three missing sequins on back not noticeable. Excellent condition!

✰ Measurements
Label - XS fits UK6-10
Length - 21.5”
Pit to pit - 16.5”
Shoulder to shoulder - 13.5”
Sleeve from pit - 18”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🦋 Sales are final! 🦋","XS","£35.00","£11.50","£78.50","£0.00","£4.08","£0.00","=""-""","£0.68","£3.40","PAYPAL","Shirts","KR",,,,"N/A","N/A"
"12/05/2023","10:06 AM","09/02/2023","Yes","xzxzxzx","N/A","Gorpcore printed cargo shirt

2000s lightweight red cotton short sleeved shirt. Features dark grey screen print pattern near hem with small metal tag embroidered onto left side. Adjustable ties on sleeves. Excellent condition!

✰ Measurements
Label - 38 fits M/L UK10/12/14
Length - 24”
Pit to pit - 18”
Shoulder to shoulder - 15”
Sleeve - 6” (adjustable)
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","M","£32.00","=""-""","=""-""","=""-""","£3.78","=""-""","=""-""","=""-""","=""-""","PAYPAL","Shirts","KR","=""-""","=""-""","=""-""","N/A","N/A"
"13/05/2023","12:51 PM","21/04/2023","No","rosieepike","N/A","Gorpcore beige bomber jacket

00s cotton bomber jacket. Stiff cotton fabric. Features buttoned epaulets ribbed collar cuffs and hem two zip pockets on front with D rings attached to left pocket flap. Red mark on sleeve and side of jacket next to sleeve. Light brown mark on back of sleeve. Last 2 photos. Otherwise good condition! 

✰ Measurements
Label - S fits S/M UK8/10/12
Length - 22”
Shoulder to shoulder - 15”
Pit to pit - 18.75”
Sleeve from pit - 19”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC8","S","£30.00","£3.45","£33.45","£0.00","£3.34","£1.27","=""-""","£0.77","£3.84","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"13/05/2023","12:57 PM","14/04/2023","No","stainedrabbitstudio","N/A","Gorpcore khaki longsleeve 

Y2k khaki and light green longsleeve tee. Features flowers screen print across front. Contrast neck (cut edge detail) back and stitching. Light piling on chest and underarms screen print a little cracked. Otherwise great condition. 

✰ Measurements
Label - 1 fits S/M UK8/10
Length - 22” 
Shoulder to shoulder - 14”
Pit to pit - 15.5”
Sleeve from pit - 19.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC457","S","£24.00","£2.70","£26.70","£0.00","£2.67","£1.07","=""-""","£0.62","£3.12","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"14/05/2023","1:27 PM","20/04/2023","No","lucychung","N/A","Gorpcore flower print T-shirt 

Khaki/Lime tshirt with follower screen print across front. Contrast stitching. Excellent condition!

✰ Measurements
Label - 3 fits M/L UK10/12
Length - 21.5”
Shoulder to shoulder - 13.5”
Pit to pit - 17.5”
Sleeve from pit - 1”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.50
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC463","M","£26.00","£2.70","£28.70","£0.00","£2.87","£1.13","=""-""","£0.67","£3.33","STRIPE","T-shirts","GB",,,,"N/A","N/A"
"14/05/2023","1:40 PM","20/04/2023","No","lumacid","N/A","Replay pink zip sweater

2000s Replay zip up sweater. Features raw seam details and sewn on ‘REPLAY’ patches. Excellent condition!

✰ Measurements
Label - S fits UK8/10
Length - 21.5”
Pit to pit - 17”
Sleeve from neck - 28.5”
Sleeve from pit - 22.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC16","S","£50.00","£3.45","£53.45","£0.00","£5.34","£1.85","=""-""","£1.20","£5.99","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"14/05/2023","3:03 PM","05/01/2023","Yes","ellaumbrella","N/A","00s graphic T-shirt 

2000s beige tshirt with brown screen print on front. Small cargo details with eyelets sewn onto body of top. Excellent condition!

✰ Measurements
Label - FR38/40 fits M-L UK10-14
Length - 21.5”
Pit to pit - 18”
Shoulder to shoulder - 15”
Sleeve - 6.5”
XS/S mannequin. (Pinned)

✰ 2+ items for free UK shipping!!
✰ USA - £10.65
✰ EUROPE - £9.20

🦋 Sales are final! 🦋","M","£21.50","£0.00","£100.00","£0.00","£2.15","£0.00","=""-""","£0.36","£1.79","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"14/05/2023","3:03 PM","27/02/2023","Yes","ellaumbrella","N/A","Gorpcore brown zip hoodie

2000s zip up hoodie. Features contrasting brown fabrics on pocket/hood sleeves and body. Contrast blue stitching and print on back. Mini rib knit sleeves. Excellent condition! 

✰ Measurements
Label - 1 fits M/L UK10/12/14
Length - 22”
Shoulder to shoulder - 13.5”
Pit to pit - 18.5”
Sleeve from pit - 19.5”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸","M","£33.50","=""-""","=""-""","=""-""","£3.35","=""-""","=""-""","=""-""","=""-""","PAYPAL","Hoodies","GB","=""-""","=""-""","=""-""","N/A","N/A"
"14/05/2023","3:03 PM","15/04/2023","Yes","ellaumbrella","N/A","Gorpcore khaki graphic tee

2000s khaki tshirt. Features graphic abstract print across front excellent condition!

✰ Measurements
Label - 1 fits S/M UK8/10
Length - 22""
Shoulder to shoulder - 12.5""
Pit to pit - 16.5""
Sleeve from pit - 1""
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £10.55
✰ EUROPE - £8.85

🐸 Sales are final! 🐸
FC465","S","£23.50","=""-""","=""-""","=""-""","£2.35","=""-""","=""-""","=""-""","=""-""","PAYPAL","T-shirts","GB","=""-""","=""-""","=""-""","N/A","N/A"
"14/05/2023","3:03 PM","20/04/2023","Yes","ellaumbrella","N/A","Gorpcore grey Knit hoodie

00s knit grey/white pullover hoodie. Features hood with a raised collar around neck. ‘X’ graphic knitted into fabric. Knit is piling a fair amount otherwise good condition!

✰ Measurements
Label - M fits M/L UK10/12/14
Length - 24.5”
Shoulder to shoulder - 14.5”
Pit to pit - 17”
Sleeve from pit - 16.25”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC1","M","£21.50","=""-""","=""-""","=""-""","£2.15","=""-""","=""-""","=""-""","=""-""","PAYPAL","Hoodies","GB","=""-""","=""-""","=""-""","N/A","N/A"
"17/05/2023","8:14 PM","16/04/2023","No","**ANONYMIZED_27925306**","Esprit","**ANONYMIZED**","M","£46.00","£3.45","£49.45","£0.00","£4.94","£1.73","=""-""","£1.11","£5.56","STRIPE","Sweaters","**ANONYMIZED**",,,,"£49.45","£6.67"
"18/05/2023","10:40 AM","21/09/2022","No","imanh001","N/A","00s khaki cargo jacket 

Vintage 2000s jacket with elastic toggles running up sleeves. Contrast grey/beige and khaki fabrics.  Single open pocket on front. Excellent condition! 

✰ Measurements
Label - 2 fits M UK10-12
Length - 22”
Pit to pit - 18.5”
Shoulder - 5.5”
Sleeve - 25.5” (adjustable to 19.5”)
XS/S mannequin. (Pinned to display fit)

✰ 2nd class shipping 2+ items free UK shipping
✰ Please ask for international shipping!  
✰ USA - £20 shipping covers up to 3 items

🦋 Sales are final! 🦋","M","£48.00","£4.45","£52.45","£0.00","£5.24","£1.82","=""-""","£1.18","£5.88","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"19/05/2023","3:47 PM","20/04/2023","No","jam3sbryce","Diesel","Diesel khaki zip hoodie 

2000s Diesel khaki green zip up hoodie. Features embroidered ‘D’ patch on chest stripey ribbed cuffs and hem. Embroidered design across back with another patch! Inside is bobbled but otherwise Excellent condition!

✰ Measurements
Label - S fits UK6/8/10
Length - 21.5”
Shoulder to shoulder - 15”
Pit to pit - 17.5”
Sleeve from pit - 18.75”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸
ZC12","S","£60.00","£3.45","£63.45","£0.00","£6.34","£2.14","=""-""","£1.41","£7.07","STRIPE","Hoodies","GB",,,,"N/A","N/A"
"19/05/2023","5:26 PM","17/05/2023","No","seriya","N/A","Gorpcore denim bomber jacket

2000s utility bomber dark grey denim. Features rib knit collar. Adjustable waist straps zips and cuffs two pockets on front. excellent condition!

✰ Measurements
Label - 2 fits M UK10/12
Length - 20”
Shoulder to shoulder - 15”
Pit to pit - 18.5”
Sleeve from pit - 17”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £18.50
✰ EUROPE - £11.55

🐸 Sales are final! 🐸","M","£49.00","£3.45","£52.45","£0.00","£5.24","£1.82","=""-""","£1.18","£5.88","STRIPE","Outerwear","GB",,,,"N/A","N/A"
